STATION NAME: ,"MAXIMUM VALUE BETWEEN TICKET GATE AND PLATFORM?: At stations with multiple lines and/or ticket offices, the highest value or combination is used. Entry point is used for stations without gates.","DETAILS OF MAXIMUM INTERCHANGE VALUES BETWEEN LINES (where appropriate) – all values apply in both directions. However, in some cases there may be lower values according to station layout.",,
Abbey Road,1 minute,,,
Acton Central,2 minutes,,,
Acton Town,1 minute,District <> Piccadilly line: 2 minutes,,
Aldgate,2 minutes,Connections between Circle and Metropolitan line trains: 4 minutes,,
Aldgate East,1 minute,Connections between District and Hammersmith & City line trains: 2 minutes.,,
All Saints,1 minute,,,
Alperton,1 minute,,,
Amersham,2 minutes,Connections between Metropolitan and Chiltern Railways: 3 minutes,,
Anerley,London Overground: 3 minutes,Connections between London Overground and Southern: 4 minutes,,
,Southern: 3 minutes,,,
Angel,2 minutes,,,
Archway,2 minutes,,,
Arnos Grove,2 minutes,,,
Arsenal,3 minutes,,,
Baker Street,"Bakerloo, Jubilee: 7 minutes.",Bakerloo to Circle: 8 minutes,,
,"Circle, Hammersmith & City, Metropolitan:  4 minutes",Bakerloo to Hammersmith & City: 8 minutes,,
,,Bakerloo to Jubilee: 2 minutes,,
,,Bakerloo to Metropolitan: 3 minutes,,
,,Circle to Hammersmith & City: 2 minutes,,
,,Circle to Jubilee: 8 minutes,,
,,Circle to Metropolitan: 8 minutes,,
,,Hammersmith & City to Jubilee: 8 minutes,,
,,Hammersmith & City to Metropolitan: 5 minutes,,
,,Jubilee to Metropolitan: 3 minutes,,
,,,,
Balham,Northern: 2 minutes,Northern to National Rail: 8 minutes,,
,Southern: 2 minutes,,,
"Bank, including Monument interchange values",Central: 3.5 minutes,Central to Circle: 7 minutes,,
,DLR: 4.5 minutes,Central to District: 7 minutes,,
,Northern: 5.5 minutes,Central to DLR: 3 minutes,,
,Waterloo & City: 3 minutes,Central to Northern: 4 minutes,,
,,Central to Waterloo & City: 4.5 minutes,,
,,Circle to DLR: 4 minutes,,
,,Circle to Northern: 4 minutes,,
,,Circle to Waterloo & City: 10 minutes,,
,,District to DLR: 4 minutes,,
,,District to Northern: 4 minutes,,
,,District to Waterloo & City: 10 minutes,,
,,DLR to Northern: 3 minutes,,
,,DLR to Waterloo & City: 6 minutes,,
,,Northern to Waterloo & City: 7 minutes,,
,,,,
Barbican ,1 minute,Circle to Hammersmith & City: 2 minutes,,
,,Circle to Metropolitan: 2 minutes,,
,,Hammersmith & City to Metropolitan: 2 minutes,,
Barking,District: 2 minutes,District to c2c: 4 minutes,,
,Hammersmith & City: 2 minutes,District to Hammersmith & City: 4 minutes,,
,National Rail (c2c): 2 minutes,District to London Overground: 4 minutes,,
,London Overground: 2 minutes,C2C to Hammersmith & City: 4 minutes,,
,,C2C to London Overground: 4 minutes,,
,,London Overground to Hammersmith & City: 4 minutes,,
,,,,
Barkingside,2 minutes,,,
Barons Court,2 minutes,Connections between District and Piccadilly line trains: 4 minutes,,
Bayswater,2 minutes,Connections between Circle and District line trains: 4 minutes,,
Beckton,2 minutes,,,
Beckton Park,2 minutes,,,
Becontree,2 minutes,,,
Belsize Park,5 minutes,,,
Bermondsey,3 minutes,,,
"Bethnal Green, London Underground",2 minutes,,,
Blackfriars,Underground station closed – to be reassessed on reopening,,,
Blackhorse Road,London Overground: 3 minutes,London Overground to Victoria: 6 minutes,,
,Victoria: 3 minutes,,,
Blackwall,2 minutes,,,
Bond Street,Central: 4 minutes,Central to Jubilee: 4 minutes,,
,Jubilee: 4 minutes,,,
Borough,3 minutes,,,
Boston Manor,1 minute,,,
Bounds Green,2 minutes,,,
Bow Church,2 minutes,Step-free access via lift (one on each platform),,
Bow Road,1 minute,District to Hammersmith & City: 2 minutes,,
Brent Cross,2 minutes,,,
Brixton London Underground,2 minutes,,,
Brockley,London Overground: 2 minutes,Connections between London Overground and Southern: 4 minutes,,
,Southern: 2 minutes,,,
Bromley-By-Bow,2 minutes,District to Hammersmith & City: 4 minutes,,
Brondesbury,2 minutes,,,
Brondesbury Park,2 minutes,,,
Buckhurst Hill,2 minutes,,,
Burnt Oak,2 minutes,,,
Bushey,London Midland: 2 minutes,London Overground to London Midland: 4 minutes,,
,London Overground: 2 minutes,,,
Caledonian Road London Underground,4 minutes,,,
Caledonian Road & Barnsbury,2 minutes,,,
Camden Road,3 minutes,,,
Camden Town,4 minutes,Interchange between branches: 4 minutes,,
Canada Water,London Overground: 2 minutes,Jubilee to London Overground: 2.5 minutes,,
,Jubilee: 4 minutes,,,
Canary Wharf DLR,1 minute,,,
Canary Wharf London Underground,1 minute,Interchange with Heron Quays DLR: 5 minutes,,
Canning Town,DLR: 3 minutes,DLR to Jubilee: 4 minutes,,
,Jubilee line: 2 minutes,DLR between branches: 5 minutes,,
Cannon Street ,2 minutes,Circle to District: 3 minutes,,
,,Circle to National Rail: 7 minutes,,
,,District to National Rail: 7 minutes,,
Canonbury ,2 minutes,,,
Canons Park,2 minutes,,,
Carpenders Park,4 minutes,,,
Chalfont & Latimer,Chiltern: 4 minutes,Chiltern to Metropolitan: 4 minutes,,
,Metropolitan: 3 minutes,,,
Chalk Farm,3 minutes,,,
Chancery Lane,4 minutes,,,
Charing Cross,Bakerloo: 7 minutes,Bakerloo to Northern: 7 minutes,,
,Northern: 7 minutes,Bakerloo to National Rail: 10 minutes,,
,National Rail: 5 minutes,Northern to National Rail: 7 minutes,,
Chesham,2 minutes,,,
Chigwell,2 minutes,,,
Chiswick Park,3 minutes,,,
Chorleywood,Chiltern Railways: 2 minutes,Chiltern Railways to Metropolitan: 3 minutes,,
,Metropolitan: 2 minutes,,,
Clapham Common,3 minutes,,,
Clapham Junction,London Overground: 6 minutes,London Overground to Southern: 4 minutes,,
,Southern: 6 minutes,London Overground to South West Trains (Richmond): 5 minutes,,
,South West Trains (Richmond line): 5 minutes,London Overground to South West Trains (Wimbledon): 5 minutes,,
,South West Trains (Wimbledon line): 5 minutes,Southern to South West Trains (Richmond): 4 minutes,,
,,Southern to South West Trains (Wimbledon): 3 minutes,,
,,South West Trains (Richmond) to South West Trains (Wimbledon): 5 minutes,,
Covent Garden,4 minutes,,,
Crossharbour ,2 minutes,,,
Crouch Hill,2 minutes,,,
Croxley,2 minutes,,,
Crystal Palace,London Overground: 2 minutes,London Overground to Southern: 4 minutes,,
,Southern: 2 minutes,"Southern, between branches: 4 minutes",,
Custom House (for ExCel),1.5 minutes,,,
Cutty Sark,2 minutes,,,
Cyprus,2 minutes,,,
,,,,
Dagenham East,2 minutes,,,
Dagenham Heathway,2 minutes,,,
Dalston Junction,1 minute,,,
Dalston Kingsland,2 minutes,,,
Debden,2 minutes,,,
Deptford Bridge,2 minutes,,,
Devons Road,2 minutes,,,
Dollis Hill,1.5 minutes,,,
Ealing Broadway,Central: 2 minutes,Central to District: 4 minutes,,
,District: 2 minutes,Central to First Great Western: 5 minutes,,
,First Great Western: 3 minutes,Central to Heathrow Connect: 5 minutes,,
,Heathrow Connect: 3 minutes,District to First Great Western: 5 minutes,,
,,District to Heathrow Connect: 5 minutes,,
,,,,
Ealing Common,District: 2 minutes,Connections between District and Piccadilly line: 4 minutes,,
,Piccadilly: 2 minutes,,,
Earls Court,District: 2 minutes,Connections between District and Piccadilly line: 3 minutes (2 minutes between different District services),,
,Piccadilly: 5 minutes,,,
East Acton,2 minutes,,,
Eastcote,2 minutes,Connections between Metropolitan and Piccadilly line: 4 minutes,,
East Finchley,2 minutes,,,
East Ham,2 minutes,Connections between District and Hammersmith & City line: 4 minutes,,
East India,2 minutes,,,
East Putney,2 minutes,,,
Edgware,2 minutes,,,
Edgware Road Bakerloo,4 minutes,,,
Edgware Road Circle,2 minutes,"Connections between District, Hammersmith & City Circle line trains: 4 minutes",,
Elephant & Castle London Underground,Bakerloo: 5 minutes,Bakerloo to Northern: 2 minutes,,
,Northern: 7 minutes,,,
Elm Park,2 minutes,,,
Elverson Road,2 minutes,Step-free level access available.,,
Embankment,Bakerloo: 5 minutes,Bakerloo to Circle: 5 minutes,,
,Circle: 2 minutes,Bakerloo to District: 5 minutes,,
,District: 2 minutes,Bakerloo to Northern: 5 minutes,,
,Northern: 5 minutes,Circle to District: 4 minutes,,
,,Circle to Northern: 5 minutes,,
,,District to Northern: 5 minutes,,
Epping,2 minutes,,,
Euston ,Northern: 5 minutes,Northern to Victoria: 5 minutes,,
,Victoria: 4 minutes,Northern to London Overground/NR: 10 minutes,,
,London Overground/NR (from concourse): 7 minutes,Victoria to London Overground/NR: 9 minutes,,
,,,,
Euston Square,2 minutes,"Connections between Metropolitan, Hammersmith & City, Circle line trains: 2 minutes",,
Fairlop,2 minutes,,,
